data_publicacao,diario,secao,subsecao1,subsecao2,subsecao3,subsecao4,subsecao5,nome_materia,materia,link_materia_oficial,texto
17/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",ASSESSORIA DE COMUNICAÇÃO SOCIAL DO ESTADO (ASSECOM),DEPARTAMENTO ESTADUAL DE IMPRENSA (DEI),,,EXTRATO DISPENSA DE LICITAÇÃO (H BONITA) - Termo de Dispensa de Licitação nº 26_2019.doc,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191017&id_doc=662540,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191017/662540.htm,"Departamento
Estadual de Imprensa
Extrato de Termo de Dispensa de Licitação nº 26/2019 (SEI)
Processo nº 03010013.009109/2019-41- DEI; Participes: Departamento
Estadual de Imprensa (DEI) e a H BONITA COMÉRCIO EIRELI - ME.
Objeto: aquisição de material de expediente diversos. Valor total:
R$ 4.681,10 (quatro mil, seiscentos e oitenta e um reais e dez
centavos). Dotação orçamentária: 11.2011. Ação: 2055. Elemento de despesa: 33.90.30.16.
Fonte: 250  Recursos diretamente arrecadados. Fundamento legal: artigo 24, II,
da Lei 8.666/93.
Data: 16/10/2019
Autorização: VICENTE
GURGEL DE QUEIROZ NETO
Diretor Geral do DEI"
17/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,TERMO DE DISPENSAR DE LICITAÇÃO - Qualitek Antivírus,http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191017&id_doc=662504,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191017/662504.htm,"TERMO DE
DISPENSA DE LICITAÇÃO 
 
Trata o presente o processo de pagamento
de renovação de 85 (oitenta e cinco) licenças de antivírus Kaspersky
Business Space Security, para a Controladoria Geral do Estado  CONTROL/RN, em favor
da empresa QUALITEK Tecnologia LTDA.
 
A despesa tem enquadramento no Art. 24,
inciso II, da Lei Federal nº 8.666, de 21 de junho de 1993.
 
Assim dispenso a licitação com base
no inciso II do art. 24, do Estatuto das Licitações.
 
Débora Cristiane Barreto de Souza
Controladora - Geral do Estado
Adjunta"
17/10/2019,DIÁRIO OFICIAL,PODER EXECUTIVO,"CONTRATOS, EDITAIS E AVISOS",CONTROLADORIA GERAL DO ESTADO (CONTROL),,,,RESUMO DE CONTRATO (FUNPEC),http://diariooficial.rn.gov.br/dei/dorn3/docview.aspx?id_jor=00000001&data=20191017&id_doc=662533,http://diariooficial.rn.gov.br/dei/dorn3/documentos/00000001/20191017/662533.htm,"RESUMO
DE TERMO DE CONTRATO.
Processo Sei! 02510001.002711/2019-84 
CONTROL. Termo de Contrato nº 004/2019, celebrado entre a Controladoria Geral
do Estado e a FUNDAÇÃO NORTE-RIO-GRANDENSE DE PESQUISA E CULTURAFUNPEC.
